,EXPERIMENT,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,CLASS_OF,GRAD
55141,344,27,53,63,0,2.8,2,56.183423,2011,1
55196,344,27,53,63,0,2.2,1,37.5530636,2011,0
55197,253,105,22,44,0,2.2,2,36.451492,2011,0
55201,326,120,75,38,0,2.8,1,40.3569559,2011,1
55202,13,99,76,42,0,2.8,2,43.2600313,2011,1
55267,13,99,76,42,0,2.2,1,22.0045173,2011,0
55268,114,80,72,35,0,2.2,2,23.9031223,2011,0
55273,208,82,76,42,0,2.8,1,41.5514652,2011,1
55274,208,82,76,42,0,2.8,2,30.2685348,2011,1
55339,216,103,76,42,0,2.2,1,82.7655294,2011,0
55340,216,103,76,42,0,2.2,2,73.7184563,2011,0
55345,114,89,72,35,0,2.8,1,82.7655294,2011,1
55346,114,89,76,42,0,2.8,2,84.2184797,2011,1
55409,26,61,80,29,0,2.2,1,36.8604177,2011,0
55410,13,101,76,42,0,2.2,2,42.6670146,2011,0
55415,13,101,76,42,0,2.8,1,72.0440912,2011,1
55416,327,61,74,29,0,2.8,2,68.8034662,2011,1
55481,327,61,74,29,0,2.2,1,26.13779,2011,0
55482,198,84,13,23,0,2.2,2,20.3276243,2011,0
55487,327,61,75,38,0,2.8,1,42.5233701,2011,1
55488,208,99,76,42,0,2.8,2,46.154482,2011,1
55553,208,99,76,42,0,2.2,1,58.9111808,2011,0
55554,114,99,72,35,0,2.2,2,53.9332905,2011,0
55559,114,99,76,42,0,2.8,1,59.6383251,2011,1
55560,13,110,76,42,0,2.8,2,58.8082802,2011,1
55625,13,110,76,42,0,2.2,1,47.9168776,2011,0
55626,253,105,82,40,0,2.2,2,53.7258537,2011,0
55631,114,120,72,35,0,2.8,1,55.7352404,2011,1
55632,114,120,76,42,0,2.8,2,59.9804844,2011,1
55688,327,64,74,29,0,2.2,1,35.9503721,2011,0
55689,327,64,74,29,0,2.2,2,32.5460281,2011,0
55694,327,64,75,38,0,2.8,1,37.1512755,2011,1
55695,327,64,75,38,0,2.8,2,36.1512662,2011,1
56158,344,27,84,27,0,2.7,2,65.2380799,2013,1
56160,208,105,76,42,0,2.4,2,52.7923134,2011,1
56161,208,105,76,42,0,3.0,2,42.2124379,2011,1
56226,344,27,84,27,0,2.7,1,65.7894605,2013,1
56227,115,50,35,75,0,2.7,2,59.3107384,2013,1
56230,115,50,35,75,0,2.4,1,66.2351152,2011,1
56231,115,50,72,35,0,2.4,2,48.8107149,2011,1
56232,115,50,72,35,0,3.0,1,61.8790895,2011,1
56233,115,50,76,42,0,3.0,2,59.9804844,2011,1
56297,115,50,76,42,0,2.7,1,53.0561077,2013,1
56298,327,88,74,29,0,2.7,2,58.8625558,2013,1
56301,327,88,74,29,0,2.4,1,56.183423,2011,1
56302,327,88,75,38,0,2.4,2,55.9593317,2011,1
56303,327,88,75,38,0,3.0,1,57.4121334,2011,1
56304,94,96,22,44,0,3.0,2,58.5276828,2011,1
56368,164,110,73,35,0,2.7,1,76.1760256,2013,1
56369,115,51,35,75,0,2.7,2,78.7443767,2013,1
56372,115,51,72,35,0,2.4,1,67.7988472,2011,1
56373,115,51,76,42,0,2.4,2,74.8365336,2011,1
56374,208,115,76,42,0,3.0,1,77.963849,2011,1
56375,66,33,46,37,0,3.0,2,65.2304962,2011,1
56434,198,84,74,29,0,2.7,1,43.1606995,2013,1
56437,66,33,46,37,0,2.4,1,51.070959,2011,1
56438,115,61,35,75,0,2.4,2,42.8604736,2011,1
56439,115,61,72,35,0,3.0,1,51.2718531,2011,1
56440,115,61,76,42,0,3.0,2,43.9620452,2011,1
56507,348,93,85,27,0,3.0,1,71.3569473,2013,0
56508,348,93,87,27,0,3.0,2,66.8981697,2013,0
56509,198,84,77,34,0,2.4,1,53.8281595,2011,1
56510,327,99,74,29,0,2.4,2,62.1260806,2011,1
56511,115,64,35,75,0,3.0,1,61.6071167,2011,1
56512,115,64,72,35,0,3.0,2,56.3182942,2011,1
56579,115,64,76,42,0,3.0,1,65.7894605,2013,0
56580,198,84,80,29,0,3.0,2,54.5063814,2013,0
56581,209,72,76,42,0,2.4,1,64.3365101,2011,1
56582,209,72,76,42,0,2.4,2,61.0984131,2011,1
56583,238,115,22,44,0,3.0,1,61.4332861,2011,1
56584,115,66,35,75,0,3.0,2,62.2139625,2011,1
56651,115,66,72,35,0,3.0,1,65.7894605,2013,0
56652,115,66,76,42,0,3.0,2,68.3578115,2013,0
56653,115,80,35,75,0,2.4,1,56.183423,2011,1
56654,115,80,72,35,0,2.4,2,60.5394487,2011,1
56655,115,80,76,42,0,3.0,1,59.4215201,2011,1
56656,95,146,19,1,0,3.0,2,57.4121334,2011,1
56723,327,120,74,29,0,3.0,1,68.5819028,2013,0
56724,327,120,74,29,0,3.0,2,68.0227898,2013,0
56725,327,120,75,38,0,2.4,1,70.8152322,2011,1
56726,209,91,76,42,0,2.4,2,70.2562679,2011,1
56727,209,91,76,42,0,3.0,1,64.7823135,2011,1
56728,115,89,35,75,0,3.0,2,68.8034662,2011,1
56795,115,89,72,35,0,3.0,1,48.6690036,2013,0
56796,115,89,76,42,0,3.0,2,54.9764229,2013,0
56797,344,28,52,63,0,2.4,1,55.8771005,2011,1
56798,344,28,52,63,0,2.4,2,50.7707332,2011,1
56799,115,93,35,75,0,3.0,1,46.8652693,2011,1
56800,115,93,72,35,0,3.0,2,51.1725213,2011,1
56869,115,93,76,42,0,2.4,1,68.244948,2011,1
56870,312,103,82,40,0,2.4,2,65.4462603,2011,1
56871,312,103,82,40,0,3.0,1,69.5941056,2011,1
56872,328,64,74,29,0,3.0,2,61.6071167,2011,1
56941,328,64,75,38,0,2.4,1,72.0440912,2011,1
56942,328,64,75,38,0,2.4,2,65.6761509,2011,1
56943,344,28,57,68,0,3.0,1,63.5534545,2011,1
56944,209,99,76,42,0,3.0,2,59.8697027,2011,1
57013,209,99,76,42,0,2.4,1,51.044193,2011,1
57014,115,99,35,75,0,2.4,2,53.6125441,2011,1
57015,115,99,72,35,0,3.0,1,55.6244587,2011,1
57016,115,99,76,42,0,3.0,2,45.2353656,2011,1
57085,234,89,74,29,0,2.4,1,62.2139625,2011,1
57086,216,115,76,42,0,2.4,2,72.9379286,2011,1
57087,115,120,35,75,0,3.0,1,63.6667641,2011,1
57088,115,120,72,35,0,3.0,2,74.053478,2011,1
57155,115,120,76,42,0,2.4,1,51.1725213,2011,1
57156,348,96,28,40,0,2.4,2,45.2624291,2011,1
57157,253,106,65,65,0,3.0,1,49.6690129,2011,1
57158,348,96,28,40,0,3.0,2,41.2576334,2011,1
57227,328,89,74,29,0,2.8,1,59.6383251,2011,1
57228,328,89,74,29,0,2.8,2,59.9492574,2011,1
57229,328,89,75,38,0,3.0,1,63.5781388,2011,1
57230,328,89,75,38,0,3.0,2,62.1260806,2011,1
57299,236,89,76,42,0,2.8,1,66.6807699,2011,1
57300,209,104,76,42,0,2.8,2,54.0607267,2011,1
57301,209,104,76,42,0,3.0,1,63.2185815,2011,1
57302,116,50,72,35,0,3.0,2,65.7894605,2011,1
57371,116,50,72,35,0,2.8,1,60.5394487,2011,1
57372,116,50,76,42,0,2.8,2,61.9898712,2011,1
57373,116,50,76,42,0,3.0,1,53.6125441,2011,1
57374,14,99,82,40,0,3.0,2,44.9003439,2011,1
57443,14,99,82,40,0,2.8,1,67.1289525,2011,1
57444,116,51,72,35,0,2.8,2,71.7092182,2011,1
57445,116,51,76,42,0,3.0,1,68.2445019,2011,1
57446,328,99,74,29,0,3.0,2,65.6761509,2011,1
57512,328,99,74,29,0,2.8,1,40.9574076,2011,1
57513,328,99,75,38,0,2.8,2,47.465721,2011,1
57514,328,99,75,38,0,3.0,1,46.4657117,2011,1
57515,344,28,84,27,0,3.0,2,50.070801,2011,1
57586,209,105,76,42,0,3.0,1,62.7480939,2011,1
57587,209,105,76,42,0,3.0,2,62.1260806,2011,1
57657,344,28,84,27,0,3.0,2,63.3318911,2011,1
57728,164,116,73,35,0,3.0,1,61.4332861,2011,1
57729,116,61,72,35,0,3.0,2,53.949945,2011,1
57799,116,61,76,42,0,3.0,1,64.7823135,2011,1
57800,195,13,51,61,0,3.0,2,71.7092182,2011,1
57868,14,101,82,40,0,3.0,1,49.2694553,2011,1
57939,14,101,82,40,0,3.0,1,63.7861704,2011,1
57940,198,88,74,29,0,3.0,2,56.8372581,2011,1
58011,198,88,75,38,0,3.0,1,67.6879168,2011,1
58012,328,110,74,29,0,3.0,2,62.9970181,2011,1
58083,328,110,74,29,0,3.0,1,57.0772604,2011,1
58084,95,146,82,40,0,3.0,2,46.6881673,2011,1
58155,328,110,75,38,0,3.0,1,52.942798,2011,1
58156,209,115,76,42,0,3.0,2,64.7823135,2011,1
58226,209,115,76,42,0,3.0,1,45.4633232,2011,1
58227,116,64,72,35,0,3.0,2,47.2670574,2011,1
58256,116,64,72,35,0,3.2,1,54.9578354,2012,0
58257,116,64,76,42,0,3.2,2,58.6882791,2012,0
58288,116,64,76,42,0,3.2,1,52.2345387,2012,0
58289,14,110,82,40,0,3.2,2,54.6555278,2012,0
58326,14,110,82,40,0,3.2,1,78.633595,2012,0
58327,116,66,72,35,0,3.2,2,77.1807934,2012,0
58358,116,66,76,42,0,3.2,1,59.7563931,2012,0
58359,344,30,29,58,0,3.2,2,72.2656546,2012,0
58396,344,30,29,58,0,3.2,1,68.6611601,2012,0
58397,328,120,74,29,0,3.2,2,69.8021373,2012,0
58428,328,120,74,29,0,3.2,1,75.712973,2012,0
58429,328,120,75,38,0,3.2,2,67.6230835,2012,0
58468,116,80,72,35,0,3.2,1,62.1260806,2012,0
58469,116,80,76,42,0,3.2,2,51.8593679,2012,0
58500,210,72,76,42,0,3.2,1,64.6162153,2012,0
58501,210,72,76,42,0,3.2,2,62.4371616,2012,0
58540,87,120,76,42,0,3.2,1,76.0652439,2012,0
58541,116,89,72,35,0,3.2,2,75.9519343,2012,0
58572,116,89,76,42,0,3.2,1,74.053478,2012,0
58573,129,43,58,66,0,3.2,2,68.4685932,2012,0
58612,116,93,72,35,0,3.2,1,73.704181,2012,0
58613,116,93,76,42,0,3.2,2,69.1350678,2012,0
58643,210,91,76,42,0,3.2,1,70.3527744,2012,0
58644,198,89,13,23,0,3.2,2,73.6609093,2012,0
58681,116,99,76,42,0,3.2,1,74.053478,2012,0
58682,198,89,13,23,0,3.2,2,69.4732123,2012,0
58708,312,104,22,44,0,3.2,1,74.9473153,2012,0
58709,312,104,22,44,0,3.2,2,76.6216803,2012,0
58746,344,30,52,63,0,3.2,1,52.1725306,2012,0
58747,329,99,74,29,0,3.2,2,51.772973,2012,0
58777,329,99,74,29,0,3.2,1,44.1608575,2012,0
58815,344,30,57,68,0,3.2,1,38.3755248,2012,0
58816,253,110,22,44,0,3.2,2,33.1896029,2012,0
58847,210,99,76,42,0,3.2,1,34.2276795,2012,0
58848,117,50,72,35,0,3.2,2,40.4494475,2012,0
58886,117,50,72,35,0,3.2,1,57.9782353,2012,0
58887,117,50,76,42,0,3.2,2,60.5712706,2012,0
58918,117,50,76,42,0,3.2,1,54.7633355,2012,0
58919,234,99,74,29,0,3.2,2,55.6962809,2012,0
61427,234,99,76,42,0,3.0,1,76.2868073,2013,0
61428,334,50,100,8,0,3.0,2,68.9167759,2013,0
61447,117,51,72,35,0,3.1,1,60.9851034,2011,0
61448,117,51,76,42,0,3.1,2,64.6713831,2011,0
61449,329,110,74,29,0,3.3,1,61.0984131,2011,0
61450,329,110,74,29,0,3.3,2,77.5156664,2011,0
61453,117,61,72,35,0,3.1,1,74.9473153,2012,0
61454,117,61,76,42,0,3.1,2,60.4261391,2012,0
61499,210,104,76,42,0,3.0,1,56.853169,2013,0
61500,210,104,76,42,0,3.0,2,45.9074909,2013,0
61519,130,88,59,62,0,3.1,1,55.4003674,2011,0
61520,198,89,74,29,0,3.1,2,61.0984131,2011,0
61521,329,120,74,29,0,3.3,1,46.2425126,2011,0
61522,117,64,72,35,0,3.3,2,46.3532943,2011,0
61525,117,64,72,35,0,3.1,1,49.5937706,2012,0
61526,117,64,76,42,0,3.1,2,49.9287923,2012,0
61571,117,64,76,42,0,3.0,1,82.2065651,2013,0
61572,66,40,47,26,0,3.0,2,77.8505394,2013,0
61591,66,40,47,26,0,3.1,1,71.4851269,2011,0
61592,210,105,76,42,0,3.1,2,80.1971783,2011,0
61593,210,105,76,42,0,3.3,1,81.6501287,2011,0
61594,198,89,75,38,0,3.3,2,77.5156664,2011,0
61597,344,30,84,27,0,3.1,1,81.3152557,2012,0
61598,117,80,72,35,0,3.1,2,77.2939543,2012,0
61643,117,80,76,42,0,3.0,1,72.9379286,2013,0
61644,117,89,72,35,0,3.0,2,72.6030555,2013,0
61663,117,89,76,42,0,3.1,1,63.3318911,2011,0
61664,210,115,76,42,0,3.1,2,68.0227898,2011,0
61665,210,115,76,42,0,3.3,1,75.5062796,2011,0
61666,117,93,72,35,0,3.3,2,79.5274323,2011,0
61669,117,93,76,42,0,3.1,1,76.73499,2012,0
61670,117,99,72,35,0,3.1,2,85.3338805,2012,0
61715,117,99,76,42,0,3.0,1,59.2200312,2013,0
61716,136,51,81,32,0,3.0,2,59.2509609,2013,0
61735,211,72,76,42,0,3.1,1,52.0134214,2011,0
61736,211,72,76,42,0,3.1,2,63.719404,2011,0
61737,95,147,82,40,0,3.3,1,56.273238,2011,0
61738,95,147,82,40,0,3.3,2,58.9464227,2011,0
61741,118,48,40,36,0,3.1,1,62.941999,2012,0
61742,118,48,40,36,0,3.1,2,59.1813692,2012,0
61785,118,48,76,42,0,3.0,1,73.903142,2013,0
61786,118,48,76,42,0,3.0,2,55.7777687,2013,0
61804,198,93,13,23,0,3.1,1,55.0779852,2011,0
61805,118,51,40,36,0,3.1,2,49.869907,2011,0
61806,118,51,76,42,0,3.3,1,52.3734247,2011,0
61807,211,91,76,42,0,3.3,2,41.1583016,2011,0
61810,211,91,76,42,0,3.1,1,65.6926566,2012,0
61811,26,71,80,29,0,3.1,2,48.2672155,2012,0
61854,118,61,40,36,0,3.0,1,50.6205459,2013,0
61855,118,61,76,42,0,3.0,2,48.3018626,2013,0
61874,312,110,22,44,0,3.1,1,44.8737266,2011,0
61875,344,31,54,63,0,3.1,2,49.4111666,2011,0
61876,344,31,54,63,0,3.3,1,49.108859,2011,0
61877,234,115,76,42,0,3.3,2,50.4203954,2011,0
61880,211,99,76,42,0,3.1,1,53.3438427,2012,0
61881,211,99,76,42,0,3.1,2,59.595202,2012,0
61925,118,64,40,36,0,3.0,1,59.7975831,2013,0
61926,118,64,40,36,0,3.0,2,81.5797934,2013,0
61945,118,64,76,42,0,3.1,1,70.8909206,2011,0
61946,118,64,76,42,0,3.1,2,52.3346139,2011,0
61947,348,104,28,40,0,3.3,1,71.4956846,2011,0
61948,118,66,40,36,0,3.3,2,53.7462256,2011,0
61951,118,66,76,42,0,3.1,1,56.1672147,2012,0
61952,273,99,75,38,0,3.1,2,50.5204706,2012,0
61997,198,93,74,29,0,3.0,1,74.723224,2013,0
61998,211,104,76,42,0,3.0,2,69.0275576,2013,0
62017,211,104,76,42,0,3.1,1,62.3247442,2011,0
62018,118,80,76,42,0,3.1,2,71.3741965,2011,0
62019,118,89,40,36,0,3.3,1,62.6621451,2011,0
62020,118,89,76,42,0,3.3,2,55.1762761,2011,0
62023,145,61,74,29,0,3.1,1,64.5606014,2012,0
62024,253,113,82,40,0,3.1,2,65.5653692,2012,0
62069,330,99,82,40,0,3.0,1,73.3835833,2013,0
62070,330,99,82,40,0,3.0,2,61.8790895,2013,0
62089,118,93,40,36,0,3.1,1,67.3530438,2011,0
62090,118,93,76,42,0,3.1,2,66.2351152,2011,0
62091,211,105,76,42,0,3.3,1,65.6761509,2011,0
62092,211,105,76,42,0,3.3,2,72.2656546,2011,0
62095,344,31,84,27,0,3.1,1,75.6170613,2012,0
62096,190,120,76,42,0,3.1,2,68.9167759,2012,0
62141,190,120,76,42,0,3.0,1,60.9851034,2013,0
62142,340,126,66,77,0,3.0,2,56.518296,2013,0
62161,118,99,40,36,0,3.1,1,68.4685932,2011,0
62162,118,99,76,42,0,3.1,2,67.2397342,2011,0
62163,352,104,75,38,0,3.3,1,63.5534545,2011,0
62164,352,104,75,38,0,3.3,2,63.5534545,2011,0
62167,352,104,86,27,0,3.1,1,72.8246189,2012,0
62168,352,104,86,27,0,3.1,2,73.7184563,2012,0
62213,118,120,40,36,0,3.0,1,63.8429739,2013,0
62214,118,120,76,42,0,3.0,2,60.8007151,2013,0
62233,330,110,82,40,0,3.1,1,65.0572603,2011,0
62234,330,110,82,40,0,3.1,2,66.1274562,2011,0
62235,352,104,107,21,0,3.3,1,66.1274562,2011,0
62236,211,115,76,42,0,3.3,2,69.8088288,2011,0
62239,211,115,76,42,0,3.1,1,70.684376,2012,0
62240,198,99,13,23,0,3.1,2,64.2521971,2012,0
62285,119,48,40,36,0,3.0,1,77.0651046,2013,0
62286,119,48,40,36,0,3.0,2,77.1672616,2013,0
62305,119,48,76,42,0,3.1,1,77.2187119,2011,0
62306,119,48,76,42,0,3.1,2,79.908105,2011,0
62307,198,99,13,23,0,3.3,1,71.3478766,2011,0
62308,330,113,82,40,0,3.3,2,67.6433067,2011,0
62311,330,113,82,40,0,3.1,1,67.2562399,2012,0
62312,212,72,76,42,0,3.1,2,67.3304414,2012,0
62357,212,72,76,42,0,3.0,1,55.5933804,2013,0
62358,344,32,31,27,0,3.0,2,46.9845269,2013,0
62377,119,51,40,36,0,3.1,1,50.4074584,2011,0
62378,119,51,76,42,0,3.1,2,50.0965262,2011,0
62379,238,115,82,40,0,3.3,1,52.1704488,2011,0
62380,119,61,40,36,0,3.3,2,48.8502692,2011,0
62383,119,61,76,42,0,3.1,1,59.7412257,2012,0
62384,330,115,82,40,0,3.1,2,50.4074584,2012,0
62429,330,115,82,40,0,3.0,1,55.1771683,2013,0
62430,212,91,76,42,0,3.0,2,55.1771683,2013,0
62449,212,91,76,42,0,3.1,1,58.1864157,2011,0
62450,275,99,83,27,0,3.1,2,55.6962809,2011,0
62451,119,64,40,36,0,3.3,1,60.4661395,2011,0
62452,119,64,40,36,0,3.3,2,61.5042161,2011,0
62455,119,64,76,42,0,3.1,1,60.5712706,2012,0
62456,119,64,76,42,0,3.1,2,54.5553038,2012,0
62501,119,80,40,36,0,3.0,1,59.4302934,2013,0
62502,119,80,76,42,0,3.0,2,63.5781388,2013,0
62521,344,32,53,63,0,3.1,1,49.4722824,2011,0
62522,330,132,82,40,0,3.1,2,61.7122478,2011,0
62523,344,32,54,63,0,3.3,1,52.5842817,2011,0
62524,235,71,76,42,0,3.3,2,58.9111808,2011,0
62527,312,116,82,40,0,3.1,1,61.2960357,2012,0
62528,212,99,76,42,0,3.1,2,60.8822029,2012,0
62573,212,99,76,42,0,3.0,1,62.5488355,2013,0
62574,198,99,74,29,0,3.0,2,69.3624306,2013,0
62593,198,99,74,29,0,3.1,1,71.4851269,2011,0
62594,119,89,40,36,0,3.1,2,67.0181708,2011,0
62595,119,89,76,42,0,3.3,1,54.0607267,2011,0
62596,119,93,40,36,0,3.3,2,70.3670496,2011,0
62599,119,93,76,42,0,3.1,1,76.6216803,2012,0
62600,145,64,13,23,0,3.1,2,70.4803592,2012,0
62645,145,64,13,23,0,3.0,1,72.7061048,2013,0
62646,352,115,56,4,0,3.0,2,69.491205,2013,0
62665,331,99,82,40,0,3.1,1,79.0330039,2011,0
62666,331,99,82,40,0,3.1,2,77.0619818,2011,0
62667,212,103,76,42,0,3.3,1,87.6420061,2011,0
62668,212,103,76,42,0,3.3,2,75.2989914,2011,0
62671,119,99,40,36,0,3.1,1,85.359903,2012,0
62672,119,99,76,42,0,3.1,2,71.2540467,2012,0
62743,86,114,68,18,0,3.0,1,59.6456114,2013,0
62744,263,56,75,38,0,3.0,2,64.7823135,2013,0
62745,119,120,40,36,0,3.0,3,67.1289525,2013,0
62746,119,120,76,42,0,3.0,4,66.6807699,2013,0
62783,86,114,75,38,0,3.1,1,62.7729268,2011,0
62784,15,65,13,23,0,3.1,2,66.5699882,2011,0
62785,15,65,13,23,0,3.1,3,58.8625558,2011,0
62786,86,114,75,38,0,3.1,4,65.2304962,2011,0
62787,86,114,76,42,0,3.3,1,54.284818,2011,0
62788,331,110,82,40,0,3.3,2,64.7823135,2011,0
62789,331,110,82,40,0,3.3,3,71.1501052,2011,0
62790,212,105,76,42,0,3.3,4,61.8790895,2011,0
62795,212,105,76,42,0,3.1,1,59.6456114,2012,0
62796,344,32,84,27,0,3.1,2,59.9804844,2012,0
62797,120,48,40,36,0,3.1,3,67.0181708,2012,0
62798,120,48,40,36,0,3.1,4,58.6408437,2012,0
62861,120,48,76,42,0,3.0,1,69.3859252,2013,0
62862,120,48,76,42,0,3.0,2,81.004026,2013,0
62881,15,81,13,23,0,3.1,1,69.9050378,2011,0
62882,15,81,13,23,0,3.1,2,58.3922168,2011,0
62883,198,101,13,23,0,3.3,1,69.5941056,2011,0
62884,120,51,40,36,0,3.3,2,70.2159701,2011,0
62887,120,51,76,42,0,3.1,1,74.9880592,2012,0
62888,198,101,13,23,0,3.1,2,62.1260806,2012,0
62932,331,113,82,40,0,3.0,1,58.7824063,2013,0
62933,212,115,76,42,0,3.0,2,64.0898164,2013,0
62951,212,115,76,42,0,3.1,1,49.4681188,2011,0
62952,120,61,40,36,0,3.1,2,52.0731989,2011,0
62953,120,61,76,42,0,3.3,1,63.2884706,2011,0
62954,15,90,13,23,0,3.3,2,53.475145,2011,0
62957,331,115,82,40,0,3.1,1,59.8841266,2012,0
62958,331,115,82,40,0,3.1,2,64.489374,2012,0
63002,213,72,76,42,0,3.0,1,57.4799407,2013,0
63003,213,72,76,42,0,3.0,2,53.8747026,2013,0
63022,15,100,13,23,0,3.1,1,55.8771005,2011,0
63023,120,64,40,36,0,3.1,2,68.8959578,2011,0
63024,120,64,40,36,0,3.3,1,53.2742509,2011,0
63025,120,64,76,42,0,3.3,2,71.1985815,2011,0
63028,120,64,76,42,0,3.1,1,76.1064339,2012,0
63029,120,66,40,36,0,3.1,2,51.2718531,2012,0
63073,120,66,76,42,0,3.0,1,51.8723048,2013,0
63074,15,101,13,23,0,3.0,2,61.1845105,2013,0
63093,15,101,13,23,0,3.1,1,49.0685612,2011,0
63094,331,132,82,40,0,3.1,2,56.6785949,2011,0
63095,331,132,82,40,0,3.3,1,52.9740251,2011,0
63096,94,97,22,44,0,3.3,2,49.869907,2011,0
63099,120,80,40,36,0,3.1,1,44.3617516,2012,0
63100,120,80,76,42,0,3.1,2,51.4727472,2012,0
63144,213,91,76,42,0,3.0,1,69.7398318,2013,0
63145,213,91,76,42,0,3.0,2,69.8639966,2013,0
63163,313,93,22,44,0,3.1,1,60.1706721,2011,0
63164,313,93,22,44,0,3.1,2,70.5728508,2011,0
63165,120,89,40,36,0,3.3,1,66.3198743,2011,0
63166,120,89,76,42,0,3.3,2,63.4043081,2011,0
63169,145,72,13,23,0,3.1,1,72.3389639,2012,0
63170,15,111,13,23,0,3.1,2,83.3249398,2012,0
63213,15,111,13,23,0,3.0,1,54.866236,2013,0
63214,344,33,52,63,0,3.0,2,53.0004937,2013,0
63233,344,33,52,63,0,3.1,1,43.0423341,2011,0
63234,120,93,40,36,0,3.1,2,53.4143266,2011,0
63235,313,93,82,40,0,3.3,1,58.7031491,2011,0
63236,332,61,74,29,0,3.3,2,49.1612015,2011,0
63239,332,61,74,29,0,3.1,2,48.5393369,2012,0
63284,332,61,75,38,0,3.0,1,60.5394487,2013,0
63285,332,61,75,38,0,3.0,2,63.4426728,2013,0
63304,344,33,54,63,0,3.1,1,49.8154827,2011,0
63305,235,89,76,42,0,3.1,2,48.3650602,2011,0
63306,213,99,76,42,0,3.3,1,57.6336968,2011,0
63307,213,99,76,42,0,3.3,2,59.4215201,2011,0
63310,339,114,62,57,0,3.1,1,57.6336968,2012,0
63311,120,99,40,36,0,3.1,2,60.2045757,2012,0
63356,120,99,76,42,0,3.0,1,56.518296,2013,0
63357,15,112,13,23,0,3.0,2,60.5394487,2013,0
63376,15,112,13,23,0,3.1,1,55.289437,2011,0
63377,120,120,40,36,0,3.1,2,52.7212346,2011,0
63378,120,120,76,42,0,3.3,1,64.5606014,2011,0
63379,226,105,63,59,0,3.3,2,55.289437,2011,0
63382,332,64,74,29,0,3.1,1,67.4638255,2012,0
63383,332,64,74,29,0,3.1,2,59.0866471,2012,0
63430,332,64,75,38,0,3.7,1,56.4049864,2011,0
63431,332,64,75,38,0,3.7,2,53.8366354,2011,0
63432,213,103,76,42,0,3.6,1,69.8106132,2012,0
63433,213,103,76,42,0,3.6,2,66.4592065,2012,0
63436,15,113,13,23,0,3.7,1,83.3244937,2011,1
63437,15,113,13,23,0,3.7,2,72.2656546,2011,1
63448,121,48,72,35,0,3.8,1,62.7729268,2011,1
63449,121,48,72,35,0,3.8,2,65.5653692,2011,1
63458,121,48,76,42,0,3.7,1,69.1383393,2012,0
63459,121,48,76,42,0,3.7,2,75.058097,2012,0
63501,198,104,5,31,0,3.7,1,29.3746974,2011,0
63502,352,115,56,4,0,3.7,2,59.8697027,2011,0
63503,332,89,74,29,0,3.6,1,63.8883275,2012,0
63504,332,89,74,29,0,3.6,2,80.4212696,2012,0
63507,332,89,75,38,0,3.7,1,64.3365101,2011,1
63508,332,89,75,38,0,3.7,2,67.6879168,2011,1
63519,121,51,72,35,0,3.8,1,76.6216803,2011,1
63520,121,51,76,42,0,3.8,2,76.5108986,2011,1
63529,213,105,76,42,0,3.7,1,75.8411526,2012,0
63530,213,105,76,42,0,3.7,2,80.3081087,2012,0
63572,15,114,13,23,0,3.7,1,61.5632501,2011,0
63573,15,114,13,23,0,3.7,2,56.2979222,2011,0
63574,309,110,82,40,0,3.6,1,65.0056614,2012,0
63575,121,61,72,35,0,3.6,2,61.7863005,2012,0
63578,121,61,76,42,0,3.7,1,58.6160107,2011,1
63579,191,53,75,38,0,3.7,2,64.105876,2011,1
63590,332,99,74,29,0,3.8,1,63.6991808,2011,1
63591,332,99,74,29,0,3.8,2,56.2979222,2011,1
63600,332,99,75,38,0,3.7,1,55.9257255,2012,0
63601,15,121,13,23,0,3.7,2,62.908244,2012,0
63644,213,115,76,42,0,3.7,1,73.2171877,2011,0
63645,213,115,76,42,0,3.7,2,63.9359116,2011,0
63646,121,64,72,35,0,3.6,1,75.6328235,2012,0
63647,121,64,72,35,0,3.6,2,61.9651869,2012,0
63650,121,64,76,42,0,3.7,1,69.6054068,2011,1
63651,121,64,76,42,0,3.7,2,73.3513153,2011,1
63662,191,99,81,32,0,3.8,1,77.9034767,2011,1
63663,165,110,20,39,0,3.8,2,69.6744037,2011,1
63672,121,66,72,35,0,3.7,1,78.3156738,2012,0
63673,121,66,76,42,0,3.7,2,72.8504928,2012,0
63716,332,101,74,29,0,3.7,1,53.2061462,2011,0
63717,332,101,74,29,0,3.7,2,49.8883458,2011,0
63718,332,101,75,38,0,3.6,1,46.673446,2012,0
63719,332,101,75,38,0,3.6,2,55.3853487,2012,0
63722,214,72,76,42,0,3.7,1,51.9622685,2011,1
63723,214,72,76,42,0,3.7,2,49.5774135,2011,1
63734,121,80,72,35,0,3.8,1,49.8883458,2011,1
63735,121,80,76,42,0,3.8,2,51.1322236,2011,1
63744,121,89,72,35,0,3.7,1,53.7252589,2012,0
63745,121,89,76,42,0,3.7,2,45.1162567,2012,0
63788,332,110,74,29,0,3.7,1,57.0454385,2011,0
63789,332,110,74,29,0,3.7,2,58.6002485,2011,0
63790,332,110,75,38,0,3.6,1,73.1199377,2012,0
63791,332,110,75,38,0,3.6,2,71.4622271,2012,0
63794,214,99,76,42,0,3.7,1,51.2351241,2011,1
63795,121,93,72,35,0,3.7,2,55.3853487,2011,1
63806,121,93,76,42,0,3.8,1,53.4143266,2011,1
